feature,shap_importance
n_hospital_admits,0.035943164058108656
total_los_days,0.029925312262741494
atc_J_rx_count,0.022527983755908067
atc_C_rx_count,0.017942726292138132
avg_los_days,0.016431975093790976
atc_N_rx_count,0.016346970802229285
atc_A_rx_count,0.015292082035370668
age_at_first_admit,0.015242045793537964
atc_B_rx_count,0.014693774342730614
atc_R_rx_count,0.009925909286663653
atc_Other_rx_count,0.00914436706390966
gender,0.0073290790246289825
atc_H_rx_count,0.006612870624369417
any_benzo_flag,0.006009305300549526
insurance,0.005870647183674576
race,0.004780223079181937
