feature,shap_importance
opioid_rx_count,0.008018774697077596
distinct_opioids,0.006841593780369289
avg_drg_mortality,0.005246355685131195
bmi,0.004866121595713432
opioid_exposure_days,0.0048274628033031395
total_los_days,0.0040119779721014956
atc_C_rx_count,0.003284067595292085
opioid_hadms,0.0030417540449763866
avg_drg_severity,0.0026112730806608355
age_at_first_admit,0.0023372942250493274
race,0.0013997906855049713
avg_los_days,0.0012462477054313787
atc_J_rx_count,0.0009344743188280603
atc_Other_rx_count,0.0009264658244250081
n_admissions_with_drg,0.0007798833819241983
n_hospital_admits,0.0006859410430839002
any_opioid_flag,0.0006713637836086818
atc_N_rx_count,0.0005145772594752185
total_icu_days,0.0004988662131519275
gender,0.00035374149659863935
total_icu_hours,0.0003239390994493036
max_drg_severity,0.00029183101812153454
max_drg_mortality,0.00028679408271245
insurance,0.0001797862001943634
atc_B_rx_count,0.0001454486556527373
obesity_flag,0.0
morbid_obesity_flag,0.0
atc_A_rx_count,0.0
has_bmi,0.0
any_benzo_flag,0.0
atc_R_rx_count,0.0
high_severity_flag,0.0
high_mortality_flag,0.0
n_icu_stays,0.0
n_icu_admissions,0.0
has_icu_stay,0.0
atc_H_rx_count,0.0
