feature,selected_for_oud,selected_for_eligibility
avg_drg_severity,True,True
distinct_opioids,True,False
has_bmi,False,True
age_at_first_admit,True,False
atc_J_rx_count,True,True
opioid_exposure_days,True,False
avg_los_days,True,True
opioid_rx_count,True,False
total_icu_hours,False,True
atc_A_rx_count,False,True
n_hospital_admits,True,True
total_icu_days,True,False
race,True,False
bmi,True,True
any_opioid_flag,True,False
opioid_hadms,True,False
n_admissions_with_drg,True,True
n_icu_admissions,False,True
atc_Other_rx_count,True,True
avg_drg_mortality,True,True
atc_N_rx_count,True,False
atc_C_rx_count,True,False
insurance,False,True
total_los_days,True,True
high_severity_flag,False,True
max_drg_severity,False,True
