feature,shap_importance
atc_Other_rx_count,0.059290320584688985
total_los_days,0.04362145532983542
atc_A_rx_count,0.033534700756673065
insurance,0.029455378075289657
atc_J_rx_count,0.026554856343708043
atc_C_rx_count,0.02386706449928232
atc_N_rx_count,0.023249710686481177
avg_los_days,0.01929058094764608
age_at_first_admit,0.01608024955351141
atc_R_rx_count,0.014681925281271263
n_hospital_admits,0.0143844990655103
race,0.00923752710188585
atc_H_rx_count,0.008893453565891668
atc_B_rx_count,0.007972482426660684
gender,0.005629036297036917
any_benzo_flag,0.0007433279132042846
