feature,shap_importance
opioid_rx_count,0.01438238569234107
opioid_hadms,0.00860967899287539
distinct_opioids,0.00791506792487511
opioid_exposure_days,0.004883867235723353
age_at_first_admit,0.0031310739444017966
any_opioid_flag,0.001512812959072838
atc_C_rx_count,0.0013925301454500042
n_hospital_admits,0.0012954278772748515
atc_J_rx_count,0.0011862900776578834
total_los_days,0.0010240839974046728
avg_los_days,0.0009390273933305061
atc_A_rx_count,0.0008028721916343733
atc_Other_rx_count,0.0007798241846638443
atc_N_rx_count,0.0006675892697321301
gender,0.0004734098376654605
race,0.00044247971942493636
atc_R_rx_count,0.0004320203265969054
atc_H_rx_count,0.0003026778380521612
atc_B_rx_count,0.00023538466221547115
insurance,0.0001551518365505071
any_benzo_flag,0.0
