feature,shap_importance
opioid_rx_count,0.022201682231547414
distinct_opioids,0.009058433602048993
opioid_hadms,0.005157719905258921
opioid_exposure_days,0.004909333292504814
age_at_first_admit,0.0033610487574977643
n_hospital_admits,0.0024480311131359956
any_opioid_flag,0.0018384423181289507
atc_A_rx_count,0.0010299386965070564
atc_J_rx_count,0.0008823838153758285
total_los_days,0.0007798804601015378
atc_N_rx_count,0.0007548871930511868
atc_C_rx_count,0.0006763905667232377
atc_Other_rx_count,0.0006491615669856622
avg_los_days,0.0005658398641911768
atc_R_rx_count,0.0004784958882284351
atc_B_rx_count,0.0003431616582210059
atc_H_rx_count,0.0002772567537212949
insurance,0.00019799403414570759
race,0.00016418733619014608
gender,0.00011148037659037204
any_benzo_flag,0.0
