feature,shap_importance
n_hospital_admits,0.04269738275828173
atc_A_rx_count,0.027527943379206242
avg_los_days,0.021749563486535794
atc_C_rx_count,0.021608457854021584
total_los_days,0.01741297610163331
atc_N_rx_count,0.015161039602406123
atc_B_rx_count,0.014587210052691119
atc_J_rx_count,0.014549850630633712
atc_Other_rx_count,0.013885563423064675
age_at_first_admit,0.013853704850635876
insurance,0.012122685616772662
race,0.011150069466487772
atc_H_rx_count,0.0062965437649933126
atc_R_rx_count,0.006088008654572591
gender,0.005490253872677677
any_benzo_flag,0.005268395454201529
