feature,shap_importance
opioid_rx_count,0.010709440414194457
distinct_opioids,0.00945906305505644
opioid_hadms,0.0056524298565404285
opioid_exposure_days,0.004958322633297843
n_icu_stays,0.0031008709558112487
total_icu_hours,0.002931242659940992
age_at_first_admit,0.0026378794065657755
n_icu_admissions,0.0020365863889316494
total_icu_days,0.0018033942021531675
avg_drg_mortality,0.0016840529777925341
any_opioid_flag,0.0010741468467634651
atc_J_rx_count,0.0010662741717820591
bmi,0.0010415632482902077
avg_drg_severity,0.0007806400517114578
avg_los_days,0.0007805949723299493
max_drg_mortality,0.000757247704519257
atc_Other_rx_count,0.0006930199813100658
atc_C_rx_count,0.0006844633764071515
atc_N_rx_count,0.0006757283689112548
n_hospital_admits,0.0005380742241085916
atc_A_rx_count,0.00047174256362903384
atc_R_rx_count,0.0003819846290838882
total_los_days,0.00037498561689523795
atc_B_rx_count,0.00035782160929864515
n_admissions_with_drg,0.0003408701105521462
insurance,0.00033173772918909547
obesity_flag,0.0003111791199886689
gender,0.0002484138423766842
max_drg_severity,0.000181738023522305
atc_H_rx_count,0.00011599163885639142
has_bmi,9.75554529363667e-05
has_icu_stay,5.618369927772255e-05
race,1.7052650602885553e-05
any_benzo_flag,0.0
high_severity_flag,0.0
high_mortality_flag,0.0
morbid_obesity_flag,0.0
