feature,shap_importance
avg_drg_severity,0.05214213832337333
avg_drg_mortality,0.0398809336883264
total_icu_hours,0.031858984379575864
total_icu_days,0.022545381880558962
high_severity_flag,0.021766657744776145
max_drg_severity,0.016988168180537274
bmi,0.01490114582926482
n_icu_admissions,0.013251618964856014
has_icu_stay,0.01297215226822734
n_icu_stays,0.012958581163094434
atc_C_rx_count,0.012495436140335126
age_at_first_admit,0.011241521296028303
n_admissions_with_drg,0.01111247362803437
n_hospital_admits,0.010768231642126423
obesity_flag,0.010174500374836361
atc_Other_rx_count,0.009838872935175408
atc_J_rx_count,0.009575108767677528
total_los_days,0.008956532580576895
atc_A_rx_count,0.008930505326532634
high_mortality_flag,0.008898732689421504
avg_los_days,0.008504245298212683
atc_N_rx_count,0.008396818860332115
race,0.00827834619489616
atc_H_rx_count,0.008182740870968501
max_drg_mortality,0.008108403306829826
atc_R_rx_count,0.004698925476025943
atc_B_rx_count,0.004629603971645343
insurance,0.004522556302702722
morbid_obesity_flag,0.003080000860978491
gender,0.0029123392981910638
any_benzo_flag,0.002626316272876947
has_bmi,0.001616764843187857
