feature,shap_importance
opioid_rx_count,0.018771001907819967
distinct_opioids,0.010222651896678337
opioid_exposure_days,0.004751529776492336
opioid_hadms,0.004661184192678817
age_at_first_admit,0.0026006992471795075
total_icu_days,0.0020780499961310177
n_admissions_with_drg,0.0016424488686292297
n_hospital_admits,0.0012998068778761343
avg_drg_severity,0.0012814036264789444
n_icu_admissions,0.001232649458787256
any_opioid_flag,0.001165070021545588
atc_A_rx_count,0.0010700149598223065
total_icu_hours,0.0010158727631794254
avg_drg_mortality,0.0009499728060394048
total_los_days,0.0008966765331776748
n_icu_stays,0.0007888476675210774
atc_C_rx_count,0.0006013996903090355
avg_los_days,0.0005505389846416802
atc_B_rx_count,0.0005500306606241269
atc_N_rx_count,0.0005261103014606077
atc_J_rx_count,0.000488756239147157
bmi,0.000434446678302834
atc_Other_rx_count,0.00036077852486325596
atc_H_rx_count,0.00028455466081587556
has_bmi,0.00023892082262269554
atc_R_rx_count,0.00020917979859734023
race,0.00017955592360214545
max_drg_mortality,0.00013020292758623712
insurance,0.00012419520014901817
gender,0.00011093266924643898
obesity_flag,0.00010983829826063269
has_icu_stay,3.582395219525217e-05
morbid_obesity_flag,2.6136721832379458e-05
high_mortality_flag,2.3641877813481188e-05
max_drg_severity,2.3327805477863684e-05
any_benzo_flag,4.482912401751988e-06
high_severity_flag,0.0
