feature,shap_importance
avg_drg_severity,0.041971953439735976
bmi,0.03235084856507206
avg_drg_mortality,0.032011518773507705
n_icu_admissions,0.027746621645138813
n_icu_stays,0.025065984773667685
max_drg_severity,0.02189853059144374
high_severity_flag,0.020704564783961123
total_icu_hours,0.01816244140968941
obesity_flag,0.017614856742091595
total_icu_days,0.015868630405943367
atc_A_rx_count,0.014562003886960103
n_admissions_with_drg,0.011350286326113882
n_hospital_admits,0.011089610879821162
avg_los_days,0.010556573757681079
total_los_days,0.00833889503953999
has_bmi,0.008065058152015685
atc_C_rx_count,0.00796066944456759
atc_J_rx_count,0.007553061853610171
has_icu_stay,0.007334710538835466
atc_N_rx_count,0.007130095679923799
age_at_first_admit,0.006431286945912305
atc_Other_rx_count,0.0059532008234968225
insurance,0.005663353256517928
atc_B_rx_count,0.005591705938406686
high_mortality_flag,0.005361183370903068
race,0.005169354064422848
max_drg_mortality,0.005074398616334936
morbid_obesity_flag,0.003818685689139327
atc_H_rx_count,0.0030960440439798454
gender,0.00294962006123574
atc_R_rx_count,0.0025100649150653965
any_benzo_flag,0.0016872561912833273
