feature,selected_for_oud,selected_for_eligibility
avg_drg_severity,True,True
total_los_days,True,True
atc_C_rx_count,True,False
atc_B_rx_count,True,False
opioid_hadms,True,False
max_drg_severity,False,True
any_opioid_flag,True,False
obesity_flag,False,True
has_bmi,False,True
high_severity_flag,False,True
avg_drg_mortality,True,True
avg_los_days,True,True
n_icu_admissions,True,True
opioid_exposure_days,True,False
opioid_rx_count,True,False
n_hospital_admits,True,True
total_icu_hours,True,True
atc_A_rx_count,True,True
n_admissions_with_drg,True,True
age_at_first_admit,True,False
total_icu_days,True,True
n_icu_stays,True,True
distinct_opioids,True,False
bmi,False,True
