feature,shap_importance
atc_A_rx_count,0.012532628726668948
atc_H_rx_count,0.007057070396350246
atc_Other_rx_count,0.006775450148188258
atc_J_rx_count,0.006354013202403512
atc_N_rx_count,0.0047219301839685705
atc_C_rx_count,0.00412330963566889
age_at_first_admit,0.0035151291582266146
n_hospital_admits,0.0033089582600029635
total_los_days,0.003024146171558708
atc_R_rx_count,0.0016165361946060383
opioid_rx_count,0.001042220062628226
distinct_opioids,0.0008513568107204504
avg_los_days,0.0007649087102059595
atc_B_rx_count,0.0007242512432293268
opioid_exposure_days,0.0006483803045027532
insurance,0.00036182197746823587
race,0.00034322943777797844
opioid_hadms,0.00025798677434849145
gender,8.014793218874852e-05
any_opioid_flag,0.0
any_benzo_flag,0.0
